what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218782845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218785010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218793229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218797136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218808836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218811825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1414218823576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1414218833770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414218886214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414218888377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1414218897700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1414218901064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414218904791
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1414218908400
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1414218908990
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1414218909087
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414218912000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1414218943660
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1414218945855
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1414218946128
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1414218947849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414218979981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219008177
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219110194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219248010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219373709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219381557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1414219381566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219425571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219498267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219499296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219500524
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1414219500587
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414219500716
error,log,,,"Problems cleaning up history store.",1414219500892
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1414219501217
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1414219501240
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1414219501320
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1414219501356
